date,open,high,low,close,volume,Name
08-07-2017,38.31,39.45,38.145,39.12,5104545,Cardano
11-07-2017,38.99,39.05,38.534,38.64,2333712,Cardano
12-07-2017,38.55,39.13,38.12,38.89,3279424,Cardano
13-07-2017,38.9,39.15,38.67,38.81,2490936,Cardano
14-07-2017,38.7,38.92,38.301,38.61,4929645,Cardano
15-07-2017,38.51,38.76,38.38,38.635,2367880,Cardano
19-07-2017,38.58,39,38.52,38.995,2056485,Cardano
20-07-2017,39.04,39.28,38.75,38.77,3129578,Cardano
21-07-2017,38.82,38.82,38.3,38.34,2872613,Cardano
22-07-2017,38.54,38.87,38.37,38.55,2835481,Cardano
25-07-2017,38.66,39.085,38.1,38.11,2738642,Cardano
26-07-2017,38.14,38.66,38.09,38.59,2924950,Cardano
27-07-2017,38.32,39.75,38.1,39.6,5285247,Cardano
28-07-2017,39.54,39.935,39.29,39.31,3637596,Cardano
01-08-2017,39.3,39.88,38.96,39.83,2328199,Cardano
04-08-2017,39.74,40.47,39.45,40.46,2423523,Cardano
05-08-2017,40.76,41.49,40.68,41.46,4236512,Cardano
06-08-2017,41.47,41.77,41.13,41.29,2835525,Cardano
07-08-2017,41.4,41.59,41.2,41.5,2678444,Cardano
08-08-2017,41.75,41.91,41.32,41.5,3330208,Cardano
11-08-2017,41.12,41.54,40.96,41.48,4632354,Cardano
12-08-2017,41.53,41.53,41.1521,41.4,3454744,Cardano
13-08-2017,41.5,41.81,41.3,41.59,2892454,Cardano
14-08-2017,41.82,41.93,41.44,41.62,2762856,Cardano
15-08-2017,41.45,41.79,41.32,41.38,5424159,Cardano
18-08-2017,41.08,41.48,40.21,41.06,3311229,Cardano
19-08-2017,41.1,41.37,40.49,40.75,4715656,Cardano
20-08-2017,42.7,43.23,41.995,42.46,10733242,Cardano
21-08-2017,41.99,42.63,41.9,42.18,5659354,Cardano
22-08-2017,42.17,43.23,42.11,42.97,5595189,Cardano
25-08-2017,42.9,43.42,42.41,42.49,5221560,Cardano
26-08-2017,42.66,42.95,42.4565,42.75,2125366,Cardano
27-08-2017,42.6,42.885,42.38,42.66,1706931,Cardano
28-08-2017,42.54,43.59,42.42,43.515,4075185,Cardano
01-09-2017,43.36,43.78,43.23,43.38,3397904,Cardano
02-09-2017,43.5,43.89,43.36,43.845,3371517,Cardano
03-09-2017,43.78,43.84,43.491,43.7,5043009,Cardano
04-09-2017,43.74,44.25,43.44,44.21,5109824,Cardano
05-09-2017,43.42,43.86,43.21,43.38,4307719,Cardano
08-09-2017,43.27,43.8,43.135,43.79,2814037,Cardano
09-09-2017,43.71,44.26,43.34,44.17,2529305,Cardano
10-09-2017,44.42,45.4,44.33,44.7,5795402,Cardano
11-09-2017,45.04,45.53,44.8,45.21,5896264,Cardano
12-09-2017,45.15,45.16,44.74,45.03,2817672,Cardano
15-09-2017,44.81,45.46,44.59,44.6,3552652,Cardano
16-09-2017,44.77,45.35,44.77,45.28,2226459,Cardano
17-09-2017,44.86,45.17,44.51,44.9,3421158,Cardano
18-09-2017,45.18,45.2,44.34,44.46,2995895,Cardano
19-09-2017,44.6,44.81,44.31,44.74,2746888,Cardano
22-09-2017,45,45.2,44.33,44.53,2026324,Cardano
23-09-2017,44.84,45.36,44.44,44.87,2163722,Cardano
24-09-2017,44.91,45.05,44.52,44.67,2223455,Cardano
25-09-2017,44.75,45.205,44.56,45.05,2131886,Cardano
26-09-2017,44.84,45.18,44.78,44.91,2300068,Cardano
29-09-2017,44.89,45.59,44.82,45.06,3553107,Cardano
30-09-2017,44.76,45.15,44.55,45.08,4313153,Cardano
01-10-2017,45.14,45.73,44.61,44.71,3817579,Cardano
02-10-2017,44.65,45.88,44.63,45.69,2738430,Cardano
03-10-2017,46,47.17,45.82,47.01,4226406,Cardano
06-10-2017,47,47.14,46.48,46.49,3078198,Cardano
07-10-2017,46.46,46.68,45.29,45.602,6862931,Cardano
08-10-2017,45.51,45.64,45.1601,45.32,3318807,Cardano
09-10-2017,45.22,45.25,43.47,43.97,9318677,Cardano
10-10-2017,44.12,44.2,43.75,44.02,4571120,Cardano
13-10-2017,43.98,44.008,43.49,43.61,2767935,Cardano
14-10-2017,43.7,44.1,43.6001,44.04,4304923,Cardano
15-10-2017,44.06,45.105,43.95,45.07,3645934,Cardano
16-10-2017,44.96,45.34,44.48,44.56,2609084,Cardano
17-10-2017,44.6,44.76,44.33,44.61,3688124,Cardano
20-10-2017,44.55,44.675,44.15,44.29,1491068,Cardano
21-10-2017,44.21,44.48,43.89,44.02,1828187,Cardano
22-10-2017,44.12,44.31,42.95,43.17,3026370,Cardano
23-10-2017,42.66,43.14,42.57,42.77,3339693,Cardano
24-10-2017,42.32,42.53,41.91,42.43,3766131,Cardano
28-10-2017,42.78,43.13,42.65,42.91,2655897,Cardano
29-10-2017,42.75,42.87,42.3901,42.6,3280897,Cardano
30-10-2017,42.65,43.385,42.5,43.19,2755447,Cardano
31-10-2017,42.92,43.55,42.66,42.91,3132984,Cardano
03-11-2017,42.98,43.48,42.76,43.46,2884752,Cardano
04-11-2017,43.67,44.8,43.53,44.39,5249270,Cardano
05-11-2017,44.39,44.58,43.81,43.84,3385503,Cardano
06-11-2017,43.84,44.05,43.255,43.57,3760841,Cardano
07-11-2017,43.86,44.41,43.66,44.12,2895226,Cardano
10-11-2017,44.3,44.335,43.84,44.09,1833873,Cardano
11-11-2017,43.6,43.85,43.1,43.12,2487069,Cardano
12-11-2017,43.31,43.46,42.61,42.72,2124415,Cardano
13-11-2017,42.74,43.36,42.39,43.3,2002339,Cardano
14-11-2017,43.33,43.57,42.7,42.84,2320075,Cardano
17-11-2017,43.22,43.76,42.975,43.39,2677070,Cardano
18-11-2017,43.55,44.2,43.215,43.36,5383079,Cardano
19-11-2017,46.43,46.44,45.35,45.78,12565585,Cardano
20-11-2017,45.28,45.29,44.45,44.895,5488604,Cardano
21-11-2017,44.92,45,44.23,44.77,6294691,Cardano
24-11-2017,44.34,44.6,43.37,43.6,4492827,Cardano
25-11-2017,44.04,44.435,43.46,44.37,3366284,Cardano
26-11-2017,44.95,45.915,44.895,45.68,5356322,Cardano
27-11-2017,45.9,46.265,45.59,45.93,2916446,Cardano
28-11-2017,45.99,45.99,45.39,45.56,4052512,Cardano
01-12-2017,45.23,47.19,44.88,46.235,6341158,Cardano
02-12-2017,46,46.48,45.725,46.03,3025049,Cardano
03-12-2017,45.71,46.82,45.66,46.42,1601483,Cardano
05-12-2017,46.69,47.1,46.55,47,1614563,Cardano
08-12-2017,47.03,47.49,46.44,46.625,2813076,Cardano
09-12-2017,46.76,47.31,46.73,47.26,2578615,Cardano
10-12-2017,47.09,47.33,46.64,47.25,2684637,Cardano
11-12-2017,47.62,48,47.5,47.99,3293492,Cardano
12-12-2017,48.35,48.63,48.08,48.39,4135697,Cardano
15-12-2017,48.25,48.455,48.095,48.12,2122706,Cardano
16-12-2017,48.05,48.13,47.36,47.485,2473018,Cardano
17-12-2017,48.17,48.4,47.78,48.04,3135777,Cardano
18-12-2017,48.04,48.52,48.005,48.19,2641466,Cardano
19-12-2017,48.26,48.47,47.93,48.07,2763970,Cardano
22-12-2017,48.52,48.52,47.92,48.28,1782812,Cardano
23-12-2017,48.35,48.45,47.95,48.07,1708528,Cardano
24-12-2017,48.38,48.58,47.65,47.8,2407382,Cardano
25-12-2017,47.8,47.96,47.4525,47.79,2242304,Cardano
26-12-2017,47.77,47.8571,47.4,47.64,2917979,Cardano
29-12-2017,47.51,47.775,47.1101,47.17,2352441,Cardano
30-12-2017,47.19,47.5,47.115,47.36,2757992,Cardano
31-12-2017,47.5,47.71,47.18,47.28,3813463,Cardano
