date,open,high,low,close,volume,Name
08-02-2013,45.07,45.35,45,45.08,1824755,Polygon
11-02-2013,45.17,45.18,44.45,44.6,2915405,Polygon
12-02-2013,44.81,44.95,44.5,44.62,2373731,Polygon
13-02-2013,44.81,45.24,44.68,44.75,2052338,Polygon
14-02-2013,44.72,44.78,44.36,44.58,3826245,Polygon
15-02-2013,43.48,44.24,42.21,42.25,14657315,Polygon
19-02-2013,42.21,43.12,42.21,43.01,4116141,Polygon
20-02-2013,42.84,42.85,42.225,42.24,3873183,Polygon
21-02-2013,42.14,42.14,41.47,41.63,3415149,Polygon
22-02-2013,41.83,42.07,41.58,41.8,3354862,Polygon
25-02-2013,42.09,42.22,41.29,41.29,3622460,Polygon
26-02-2013,40.62,41.29,40.19,40.97,6185811,Polygon
27-02-2013,40.99,41.905,40.83,41.73,3564385,Polygon
28-02-2013,41.78,42.06,41.45,41.48,3464202,Polygon
01-03-2013,41.18,41.98,40.73,41.93,3089323,Polygon
04-03-2013,41.75,42.18,41.52,42.03,2435306,Polygon
05-03-2013,42.35,43.19,42.34,42.66,3289188,Polygon
06-03-2013,43,43.52,42.9,43.24,2996908,Polygon
07-03-2013,43.3,43.48,42.81,43.25,2414186,Polygon
08-03-2013,43.5,43.52,43.02,43.03,3256301,Polygon
11-03-2013,42.99,43.01,41.73,42.81,5472837,Polygon
12-03-2013,42.8,43,42.59,42.62,3767613,Polygon
13-03-2013,42.56,43.05,42.4,43,2241086,Polygon
14-03-2013,43.03,43.38,43,43.32,2840603,Polygon
15-03-2013,43.1,43.22,42.88,43.01,2579690,Polygon
18-03-2013,42.46,42.7,42.18,42.55,1847766,Polygon
19-03-2013,42.68,42.82,41.59,42,6246443,Polygon
20-03-2013,42.25,42.785,42.22,42.7,3240314,Polygon
21-03-2013,42.45,42.76,41.63,41.65,4409084,Polygon
22-03-2013,41.79,41.79,40.91,41.25,5425027,Polygon
25-03-2013,41.49,41.654,40.79,41.13,2797510,Polygon
26-03-2013,41.4,41.82,41.32,41.82,2513554,Polygon
27-03-2013,41.4,42.19,41.21,42.09,3369968,Polygon
28-03-2013,42.08,42.08,41.4995,41.97,2147900,Polygon
01-04-2013,41.83,41.9771,40.79,40.93,2541331,Polygon
02-04-2013,41.12,41.36,40.59,40.66,2354390,Polygon
03-04-2013,40.63,40.99,40.32,40.52,5278950,Polygon
04-04-2013,40.54,41.47,40.54,41.41,3918841,Polygon
05-04-2013,40.73,41.85,40.67,41.54,4959134,Polygon
08-04-2013,41.44,41.7425,41.17,41.66,2395400,Polygon
09-04-2013,41.73,42.13,41.53,41.65,1659420,Polygon
10-04-2013,41.73,42.37,41.665,42.26,2169261,Polygon
11-04-2013,42.35,43.93,42.3301,43.86,5626492,Polygon
12-04-2013,43.54,44.785,43.43,44.75,6083564,Polygon
15-04-2013,44.5,44.54,42.945,43.04,7750724,Polygon
16-04-2013,43.46,43.75,42.84,43.39,4505330,Polygon
17-04-2013,43.08,43.11,41.93,42.19,4492937,Polygon
18-04-2013,41.77,42.25,41.4798,41.83,3976804,Polygon
19-04-2013,41.89,42.22,41.65,42,3075803,Polygon
22-04-2013,42.03,42.25,41.34,41.85,2340457,Polygon
23-04-2013,42.21,42.8425,42.13,42.61,3522419,Polygon
24-04-2013,42.72,43.035,42.37,42.85,3020692,Polygon
25-04-2013,43.05,43.25,42.66,42.73,2119838,Polygon
26-04-2013,42.44,42.57,40.69,41.3,5283798,Polygon
29-04-2013,41.64,41.68,41.05,41.46,2541961,Polygon
30-04-2013,41.2,41.66,40.95,41.44,3451449,Polygon
01-05-2013,41.42,41.74,41.26,41.31,2726213,Polygon
02-05-2013,41.49,41.72,41.236,41.48,3437642,Polygon
03-05-2013,41.93,42.55,41.54,41.55,4741565,Polygon
06-05-2013,41.44,42.12,41.39,42,2819360,Polygon
07-05-2013,42.18,42.41,41.9,42.4,3524022,Polygon
08-05-2013,42.4,42.95,42.3,42.94,2119765,Polygon
09-05-2013,42.97,43.195,42.63,43.16,3159293,Polygon
10-05-2013,43.12,43.85,43.04,43.63,4662252,Polygon
13-05-2013,43.43,43.56,42.72,43.04,4260335,Polygon
14-05-2013,42.98,44.06,42.882,43.97,6075845,Polygon
15-05-2013,44.9,46.49,44.89,45.68,10289000,Polygon
16-05-2013,45.43,45.84,44.97,44.99,4890962,Polygon
17-05-2013,45.02,45.83,44.99,45.56,3247851,Polygon
20-05-2013,45.48,47.45,45.39,46.34,5698804,Polygon
21-05-2013,46.3,46.96,46.21,46.75,4020941,Polygon
22-05-2013,46.72,47.473,46.07,46.24,5421887,Polygon
23-05-2013,45.7,45.93,45.195,45.74,3777408,Polygon
24-05-2013,45.36,45.69,45.25,45.59,2225361,Polygon
28-05-2013,46.09,46.94,46.09,46.43,4793962,Polygon
29-05-2013,45.98,46.35,45.4,46.05,3621114,Polygon
30-05-2013,46.21,47.05,46.01,46.05,3090824,Polygon
31-05-2013,45.91,46.47,45.43,45.45,4609273,Polygon
03-06-2013,45.65,45.84,45.04,45.51,3677473,Polygon
04-06-2013,46.175,46.45,45.38,45.42,3364296,Polygon
05-06-2013,45.32,45.38,44.5,44.53,2495073,Polygon
06-06-2013,44.5,45.01,44.21,45.01,3781151,Polygon
07-06-2013,45.16,45.92,44.94,45.15,2781171,Polygon
10-06-2013,45.35,45.35,44.485,44.73,2730800,Polygon
11-06-2013,44.22,44.63,44,44.4,3914328,Polygon
12-06-2013,44.78,44.828,43.795,43.92,2730633,Polygon
13-06-2013,43.87,44.56,43.66,44.49,2594941,Polygon
14-06-2013,44.34,44.57,43.85,44,1677669,Polygon
17-06-2013,44.38,44.869,44.185,44.38,2000122,Polygon
18-06-2013,44.38,44.81,44.2701,44.8,2522376,Polygon
19-06-2013,44.74,44.8796,43.5,43.52,5805826,Polygon
20-06-2013,43.11,43.11,41.85,42.32,6307980,Polygon
21-06-2013,42.6,43.23,42.37,42.98,3656145,Polygon
24-06-2013,42.44,42.75,42.07,42.31,2871453,Polygon
25-06-2013,42.01,42.82,42.01,42.48,2939595,Polygon
26-06-2013,43.1,43.29,42.28,42.34,3693707,Polygon
27-06-2013,42.56,43.29,42.52,43.08,3447018,Polygon
28-06-2013,43,43.305,42.73,42.76,5556673,Polygon
01-07-2013,43.05,43.77,42.91,43.59,4283821,Polygon
02-07-2013,43.5,43.89,42.95,43.09,2986405,Polygon
03-07-2013,42.82,43.46,42.72,43.17,1940832,Polygon
05-07-2013,43.46,44.295,43.4,44.23,2100873,Polygon
08-07-2013,44.38,44.67,44.12,44.36,2572391,Polygon
09-07-2013,44.6,44.96,44.34,44.6,3476214,Polygon
10-07-2013,44.64,45.65,44.51,45.31,3277684,Polygon
11-07-2013,45.69,45.98,45.43,45.72,2131803,Polygon
12-07-2013,45.78,45.95,45.5838,45.75,1978819,Polygon
15-07-2013,45.7,46.275,45.68,46.11,2433181,Polygon
16-07-2013,46.09,46.47,45.775,45.91,2026749,Polygon
17-07-2013,45.95,46.1,45.57,45.61,1196543,Polygon
18-07-2013,45.66,46.05,45.55,45.9,1999719,Polygon
19-07-2013,45.83,46.275,45.69,46.2,1179308,Polygon
22-07-2013,46.23,46.85,46.1,46.8,1836733,Polygon
23-07-2013,46.31,46.84,46.31,46.47,2934199,Polygon
24-07-2013,46.67,46.81,46.495,46.76,1831121,Polygon
25-07-2013,46.62,46.9,46.39,46.66,1420233,Polygon
26-07-2013,46.31,46.56,45.4322,45.6,3694988,Polygon
29-07-2013,45.59,45.7,44.98,45.34,1962142,Polygon
30-07-2013,45.55,45.6,44.82,44.85,2791858,Polygon
31-07-2013,45.04,45.3,44.66,44.73,2807402,Polygon
01-08-2013,45.51,46.2,45.32,46.04,2745041,Polygon
02-08-2013,46.06,46.51,45.9901,46.38,2387817,Polygon
05-08-2013,46.26,46.4,45.8,45.94,1875418,Polygon
06-08-2013,45.93,46.215,45.61,46.08,2280909,Polygon
07-08-2013,45.88,46.46,45.62,46.28,1702122,Polygon
08-08-2013,46.5,46.55,45.64,45.85,1702407,Polygon
09-08-2013,45.85,46.46,45.81,46.22,1958449,Polygon
12-08-2013,45.89,46.51,45.72,46.45,1247241,Polygon
13-08-2013,46.45,46.98,46.24,46.92,2078213,Polygon
14-08-2013,46.77,47,46.37,46.51,1989871,Polygon
15-08-2013,47.59,48.17,46.85,46.96,6708341,Polygon
16-08-2013,46.81,47.22,46.52,46.79,3624694,Polygon
19-08-2013,46.63,46.94,46.42,46.44,1727559,Polygon
20-08-2013,46.43,47.2699,46.17,47.03,2294328,Polygon
21-08-2013,46.93,47.24,46.64,46.89,1949054,Polygon
22-08-2013,46.89,48.33,46.8,47.97,3147986,Polygon
23-08-2013,47.96,48,47.54,47.68,1702511,Polygon
26-08-2013,47.64,48.205,47.39,47.6,2012701,Polygon
27-08-2013,47.08,47.39,46.8,46.97,2138064,Polygon
28-08-2013,46.88,46.97,46.51,46.74,1590425,Polygon
29-08-2013,46.63,47.03,46.42,46.8,1900662,Polygon
30-08-2013,46.89,46.98,46.37,46.64,1358573,Polygon
03-09-2013,47.04,47.51,46.615,46.93,1565632,Polygon
04-09-2013,46.93,47.96,46.74,47.87,2522043,Polygon
05-09-2013,47.82,48.09,47.58,47.68,1313188,Polygon
06-09-2013,47.71,47.79,47.13,47.43,1332857,Polygon
09-09-2013,47.59,48.0485,47.29,47.95,1668867,Polygon
10-09-2013,48.04,48.67,48.04,48.55,1821283,Polygon
11-09-2013,48.6,49.02,48.22,48.96,1783424,Polygon
12-09-2013,48.9,48.94,48.49,48.62,1468485,Polygon
13-09-2013,48.6,48.62,48.23,48.46,2141143,Polygon
16-09-2013,49.06,49.18,48.58,48.74,1861513,Polygon
17-09-2013,48.73,49.32,48.62,48.87,1578387,Polygon
18-09-2013,48.77,49.35,48.29,49.32,2044234,Polygon
19-09-2013,52.92,53.47,50.749,50.98,18146408,Polygon
20-09-2013,51.035,52.39,50.98,52.15,10692052,Polygon
23-09-2013,51.91,52.24,51.38,51.67,2716907,Polygon
24-09-2013,51.61,51.92,51.2,51.6,2185721,Polygon
25-09-2013,51.59,52.13,51.44,51.83,2865074,Polygon
26-09-2013,51.96,52.12,51.46,52.09,2680307,Polygon
27-09-2013,51.84,52.1,51.4,51.63,2110103,Polygon
30-09-2013,51.02,51.615,50.75,51.25,2650001,Polygon
01-10-2013,50.7,52.08,50.7,51.9,2997047,Polygon
02-10-2013,51.59,51.71,51.15,51.57,2020794,Polygon
03-10-2013,51.56,51.57,50.91,51.06,1878510,Polygon
04-10-2013,51.17,51.86,51.07,51.78,1867889,Polygon
07-10-2013,51.34,51.59,51.07,51.13,1382107,Polygon
08-10-2013,51.18,51.33,49.89,50.13,2415258,Polygon
09-10-2013,50.23,50.38,49.39,49.95,2430595,Polygon
10-10-2013,50.29,51.2,50.29,50.99,2426300,Polygon
