date,open,high,low,close,volume,Name
08-02-2017,15.07,15.12,14.63,14.75,8407500,Tata Steel
11-02-2017,14.89,15.01,14.26,14.46,8882000,Tata Steel
12-02-2017,14.45,14.51,14.1,14.27,8126000,Tata Steel
13-02-2017,14.3,14.94,14.25,14.66,10259500,Tata Steel
14-02-2017,14.94,14.96,13.16,13.99,31879900,Tata Steel
15-02-2017,13.93,14.61,13.93,14.5,15628000,Tata Steel
19-02-2017,14.33,14.56,14.08,14.26,11354400,Tata Steel
20-02-2017,14.17,14.26,13.15,13.33,14725200,Tata Steel
21-02-2017,13.62,13.95,12.9,13.37,11922100,Tata Steel
22-02-2017,13.57,13.6,13.21,13.57,6071400,Tata Steel
25-02-2017,13.6,13.76,13,13.02,7186400,Tata Steel
26-02-2017,13.14,13.42,12.7,13.26,9419000,Tata Steel
27-02-2017,13.28,13.62,13.18,13.41,7390500,Tata Steel
28-02-2017,13.49,13.63,13.39,13.43,6143600,Tata Steel
01-03-2017,13.37,13.95,13.32,13.61,7376800,Tata Steel
04-03-2017,13.5,14.07,13.47,13.9,8174800,Tata Steel
05-03-2017,14.01,14.05,13.71,14.05,7676100,Tata Steel
06-03-2017,14.52,14.68,14.25,14.57,13243200,Tata Steel
07-03-2017,14.7,14.93,14.5,14.82,9125300,Tata Steel
08-03-2017,14.99,15.2,14.84,14.92,10593700,Tata Steel
11-03-2017,14.85,15.15,14.71,15.13,6961800,Tata Steel
12-03-2017,15.14,15.6,14.95,15.5,8999100,Tata Steel
13-03-2017,15.54,16.2,15.48,15.91,11380000,Tata Steel
14-03-2017,15.98,16.36,15.93,16.25,8383300,Tata Steel
15-03-2017,16.45,16.54,15.88,15.98,17667700,Tata Steel
18-03-2017,15.8,16.33,15.71,16.29,6514100,Tata Steel
19-03-2017,16.48,16.85,16.41,16.78,11805300,Tata Steel
20-03-2017,17.13,17.33,16.87,17.23,10819800,Tata Steel
21-03-2017,17.21,17.43,16.87,17,10740800,Tata Steel
22-03-2017,17.1,17.29,16.77,16.86,8545200,Tata Steel
25-03-2017,16.92,17,16.35,16.6,8400000,Tata Steel
26-03-2017,16.67,16.84,16.5,16.51,6898500,Tata Steel
27-03-2017,16.48,16.77,16.33,16.65,5537100,Tata Steel
28-03-2017,17,17.09,16.82,16.97,8324100,Tata Steel
01-04-2017,17.02,17.13,16.54,16.67,5222300,Tata Steel
02-04-2017,16.48,16.5,15.71,15.74,14595600,Tata Steel
03-04-2017,15.82,15.92,15.13,15.53,14658300,Tata Steel
04-04-2017,15.12,15.71,15.12,15.69,5520300,Tata Steel
05-04-2017,15.17,15.79,15.03,15.72,5252300,Tata Steel
08-04-2017,15.82,15.97,15.53,15.84,3780700,Tata Steel
09-04-2017,16.07,16.1,15.67,15.7,4420200,Tata Steel
10-04-2017,15.74,15.98,15.7,15.78,3650600,Tata Steel
11-04-2017,15.77,16.38,15.75,16.19,5062200,Tata Steel
12-04-2017,16.11,16.39,15.95,16.14,3751800,Tata Steel
15-04-2017,16.2,16.39,15.47,15.59,6243400,Tata Steel
16-04-2017,15.96,16.74,15.81,16.37,10458200,Tata Steel
17-04-2017,16.17,16.55,15.9,16.52,6581900,Tata Steel
18-04-2017,16.54,16.54,15.95,16.1,7633300,Tata Steel
19-04-2017,16.1,16.24,15.85,16.02,5762600,Tata Steel
22-04-2017,15.99,16,15.5,15.52,9227100,Tata Steel
23-04-2017,15.33,16.49,15.33,16.3,12302300,Tata Steel
24-04-2017,16.26,16.5,16,16.45,6114400,Tata Steel
25-04-2017,16.55,16.73,16.19,16.22,5548800,Tata Steel
26-04-2017,16.38,16.73,16.16,16.59,7272100,Tata Steel
29-04-2017,16.7,16.97,16.56,16.81,5436400,Tata Steel
30-04-2017,16.8,17.05,16.57,16.9,3640700,Tata Steel
01-05-2017,16.91,17.17,16.6,16.6,4943600,Tata Steel
02-05-2017,16.72,16.98,16.6,16.94,4888900,Tata Steel
03-05-2017,17.02,17.19,16.89,17.02,6451900,Tata Steel
06-05-2017,17.05,17.11,16.91,17,3930700,Tata Steel
07-05-2017,17.15,17.15,16.95,16.98,3157000,Tata Steel
08-05-2017,17.01,17.55,16.99,17.34,6706200,Tata Steel
09-05-2017,17.53,17.86,17.34,17.38,6424000,Tata Steel
10-05-2017,17.61,17.81,17.41,17.76,4248200,Tata Steel
13-05-2017,17.74,17.95,17.57,17.72,4250900,Tata Steel
14-05-2017,17.82,18.3,17.8,18.1,5989700,Tata Steel
15-05-2017,18.37,18.99,18.31,18.81,8951500,Tata Steel
16-05-2017,18.96,19.52,18.88,19.12,6679300,Tata Steel
17-05-2017,19.38,19.7,18.75,19.01,7540000,Tata Steel
20-05-2017,19.05,19.39,18.39,18.59,6055000,Tata Steel
21-05-2017,18.55,18.7,17.65,17.95,10018700,Tata Steel
22-05-2017,18.06,18.43,17.71,17.93,8662000,Tata Steel
23-05-2017,17.48,18.45,17.44,18.19,7482400,Tata Steel
24-05-2017,18.11,18.42,17.89,18.21,4277800,Tata Steel
28-05-2017,18.44,18.72,18.05,18.12,4561900,Tata Steel
29-05-2017,18.06,18.15,17.65,17.83,4216200,Tata Steel
30-05-2017,17.92,18.22,17.66,17.67,4126600,Tata Steel
31-05-2017,17.66,17.9,17.55,17.57,3831500,Tata Steel
03-06-2017,17.54,17.9,17.4,17.73,5776800,Tata Steel
04-06-2017,17.78,18.2,17.56,17.65,4543800,Tata Steel
05-06-2017,17.15,17.62,16.85,16.95,11852000,Tata Steel
06-06-2017,16.92,17.08,15.93,16.64,12738600,Tata Steel
07-06-2017,16.89,17.1,16.65,17.02,4030900,Tata Steel
10-06-2017,17.09,17.35,17.05,17.26,4246400,Tata Steel
11-06-2017,16.94,17.26,16.75,16.92,3788700,Tata Steel
12-06-2017,16.97,17.2,16.65,16.88,3602200,Tata Steel
13-06-2017,16.85,17.07,16.64,17.01,5384700,Tata Steel
14-06-2017,16.96,17.25,16.81,16.93,2572500,Tata Steel
17-06-2017,17.02,17.16,16.74,16.95,2845000,Tata Steel
18-06-2017,16.94,17.32,16.82,17.22,4298600,Tata Steel
19-06-2017,17.16,17.27,17,17.06,2382500,Tata Steel
20-06-2017,16.73,17.18,16.53,16.73,5234200,Tata Steel
21-06-2017,16.8,16.94,16.05,16.34,6423700,Tata Steel
24-06-2017,16.06,16.14,15.59,16.13,6691000,Tata Steel
25-06-2017,16.22,16.5,16.16,16.46,3399500,Tata Steel
26-06-2017,16.5,16.64,16.17,16.17,3604500,Tata Steel
27-06-2017,16.29,16.34,16,16.31,3566000,Tata Steel
28-06-2017,16.24,16.55,16.16,16.42,7063900,Tata Steel
01-07-2017,16.5,17.04,16.48,16.8,4666900,Tata Steel
02-07-2017,16.78,16.79,16.36,16.43,4009300,Tata Steel
03-07-2017,16.06,16.8,16.04,16.75,2625800,Tata Steel
05-07-2017,16.93,17,16.68,16.84,2397200,Tata Steel
08-07-2017,16.94,17.09,16.85,16.94,2671200,Tata Steel
09-07-2017,17.01,17.38,16.97,17.36,4076600,Tata Steel
10-07-2017,17.32,17.48,17.01,17.17,4289700,Tata Steel
11-07-2017,17.4,17.5,17.27,17.37,3153800,Tata Steel
12-07-2017,17.36,17.85,17.35,17.56,3947100,Tata Steel
15-07-2017,17.66,17.83,17.56,17.76,3267000,Tata Steel
16-07-2017,17.86,18,17.75,17.95,3839100,Tata Steel
17-07-2017,17.96,18.47,17.95,18.45,6291800,Tata Steel
18-07-2017,18.7,18.93,18.31,18.42,8434200,Tata Steel
19-07-2017,18.26,18.37,18,18.23,4122700,Tata Steel
22-07-2017,18.25,18.3,18,18.15,4705200,Tata Steel
23-07-2017,18.33,18.34,17.85,18.05,4893700,Tata Steel
24-07-2017,18.43,18.71,18.22,18.5,10792800,Tata Steel
25-07-2017,18.49,18.85,18.3,18.83,9851900,Tata Steel
26-07-2017,18.74,19.11,18.68,19.09,7797700,Tata Steel
29-07-2017,19.07,19.26,18.93,19.23,6462700,Tata Steel
30-07-2017,19.33,19.45,19.11,19.2,6091900,Tata Steel
31-07-2017,19.25,19.49,19.19,19.35,9571100,Tata Steel
01-08-2017,19.44,19.59,19.24,19.38,7989100,Tata Steel
02-08-2017,19.38,19.39,18.9,18.92,7382700,Tata Steel
05-08-2017,18.9,19.25,18.9,19.17,4365800,Tata Steel
06-08-2017,19.17,19.2,18.83,18.92,3350300,Tata Steel
07-08-2017,18.84,18.98,18.52,18.87,4318500,Tata Steel
08-08-2017,18.99,19.13,18.9,18.98,4269900,Tata Steel
09-08-2017,18.91,19.08,18.56,18.6,4720600,Tata Steel
12-08-2017,18.49,18.88,18.07,18.82,4674800,Tata Steel
13-08-2017,18.86,18.95,16.29,16.36,78591200,Tata Steel
14-08-2017,16.05,16.34,15.35,16.17,28026200,Tata Steel
15-08-2017,15.97,16.16,15.65,15.72,10372800,Tata Steel
16-08-2017,15.7,16.42,15.7,16.01,8824700,Tata Steel
19-08-2017,15.97,15.99,15.62,15.64,6141500,Tata Steel
20-08-2017,15.64,16.21,15.6,15.8,6373900,Tata Steel
21-08-2017,15.8,15.99,15.75,15.81,4234300,Tata Steel
22-08-2017,15.91,16.37,15.9,16.27,4770200,Tata Steel
23-08-2017,16.3,16.4,16.1,16.16,2190400,Tata Steel
26-08-2017,16.16,16.41,16.03,16.21,2808200,Tata Steel
27-08-2017,15.87,16,15.33,15.47,6422300,Tata Steel
28-08-2017,15.38,15.53,15.28,15.34,3613100,Tata Steel
29-08-2017,16.03,16.39,15.72,15.96,7645000,Tata Steel
30-08-2017,16.1,16.73,16.07,16.16,7569500,Tata Steel
03-09-2017,16.38,16.64,16.11,16.39,4178200,Tata Steel
04-09-2017,16.49,16.85,16.44,16.81,4839200,Tata Steel
05-09-2017,16.95,17.13,16.88,16.99,3528500,Tata Steel
06-09-2017,17.18,17.2,16.62,16.8,4512900,Tata Steel
09-09-2017,16.86,17.47,16.84,17.47,5276200,Tata Steel
10-09-2017,17.69,18.18,17.64,18.12,5827000,Tata Steel
11-09-2017,18.03,18.04,17.31,17.72,6391100,Tata Steel
12-09-2017,17.69,17.95,17.55,17.63,3475500,Tata Steel
13-09-2017,17.71,18.03,17.71,17.87,2590600,Tata Steel
16-09-2017,18.16,18.41,17.97,18.07,5691300,Tata Steel
17-09-2017,18.57,18.82,18.5,18.72,5634500,Tata Steel
18-09-2017,18.68,18.8,18.47,18.68,4482400,Tata Steel
19-09-2017,18.67,19.13,18.61,18.97,5189900,Tata Steel
20-09-2017,18.94,19.21,18.83,18.89,4989100,Tata Steel
23-09-2017,18.89,19,18.54,18.86,3354400,Tata Steel
24-09-2017,18.79,19.28,18.68,18.99,5610900,Tata Steel
25-09-2017,19.13,19.39,18.8,19.18,3519500,Tata Steel
26-09-2017,19.17,19.48,19.1,19.47,3301300,Tata Steel
27-09-2017,19.09,19.35,18.77,19.08,4223100,Tata Steel
30-09-2017,18.34,19.22,18.04,18.96,4364300,Tata Steel
01-10-2017,18.98,19.85,18.98,19.69,7630300,Tata Steel
02-10-2017,20,20.1,19.74,19.84,5555100,Tata Steel
03-10-2017,20,20.5,19.67,20.48,7886500,Tata Steel
04-10-2017,20.31,20.75,20.31,20.53,6492900,Tata Steel
07-10-2017,20.41,20.77,20.3,20.39,3837200,Tata Steel
08-10-2017,20.32,20.43,19.92,20.02,4188900,Tata Steel
09-10-2017,20.08,20.27,19.77,20.06,3358000,Tata Steel
10-10-2017,20.35,20.65,20.27,20.5,3372000,Tata Steel
11-10-2017,20.5,20.73,20.42,20.72,3503300,Tata Steel
