date,open,high,low,close,volume,Name
08-07-2017,81.34,82.72,81.01,81.9,1298146,Tata Power
11-07-2017,81.65,81.91,80.23,81.39,758025,Tata Power
12-07-2017,81.39,81.63,80.5132,81.6,876868,Tata Power
13-07-2017,81.9,82.13,80.85,81.97,1038583,Tata Power
14-07-2017,81.66,82.72,81.585,81.84,1005385,Tata Power
15-07-2017,81.83,82.18,80.93,82,1247072,Tata Power
19-07-2017,82.12,84.44,81.57,83.72,1730699,Tata Power
20-07-2017,83.42,83.94,82.39,82.5,648702,Tata Power
21-07-2017,82.26,83.05,81.56,82.06,915169,Tata Power
22-07-2017,82.2,82.46,81.63,82.21,538197,Tata Power
25-07-2017,82.46,82.74,81.36,81.36,579820,Tata Power
26-07-2017,81.42,81.925,79.42,80.15,990154,Tata Power
27-07-2017,80.29,80.58,79.22,80.3,720822,Tata Power
28-07-2017,80.35,80.59,79.34,79.34,1180722,Tata Power
01-08-2017,79.37,79.66,78.623,79.37,1272633,Tata Power
04-08-2017,79.24,80.25,79.1,80.02,1098437,Tata Power
05-08-2017,80.07,80.49,79.72,79.95,1288021,Tata Power
06-08-2017,80.1,80.24,78.97,79.18,1255685,Tata Power
07-08-2017,79.04,79.75,78.7,79.22,965817,Tata Power
08-08-2017,79.44,80.16,78.6302,79.84,736395,Tata Power
11-08-2017,79.88,81.06,79.84,80.53,689371,Tata Power
12-08-2017,80.26,80.66,79.89,80.36,660544,Tata Power
13-08-2017,80.54,81.85,80.32,81.77,644985,Tata Power
14-08-2017,81.9,82.12,80.36,80.67,763243,Tata Power
15-08-2017,80.9,82.59,80.41,82.57,1237967,Tata Power
18-08-2017,82.09,83.76,82.0101,83.7,1219210,Tata Power
19-08-2017,83.64,83.9399,82.77,83.07,1370231,Tata Power
20-08-2017,83.07,83.704,82.8005,83.22,728493,Tata Power
21-08-2017,82.91,83.72,82.85,83.03,616247,Tata Power
22-08-2017,83.12,83.44,81.972,82.81,586669,Tata Power
25-08-2017,82.83,83.94,82.33,83.53,1150909,Tata Power
26-08-2017,83.86,84.61,83.56,84.6,969590,Tata Power
27-08-2017,84.02,84.7,83.9601,84.64,551202,Tata Power
28-08-2017,84.34,86.07,84.29,85.65,1287275,Tata Power
01-09-2017,85.54,86.03,84.66,85.34,749352,Tata Power
02-09-2017,85.49,85.9099,84.33,85.83,956288,Tata Power
03-09-2017,85.8,85.95,84.5,85.12,846053,Tata Power
04-09-2017,85.2,85.97,84.93,85.2,819485,Tata Power
05-09-2017,84.62,84.62,83.75,83.95,913897,Tata Power
08-09-2017,84,84.15,83.35,83.63,837497,Tata Power
09-09-2017,82.97,82.97,81.5,81.71,1462832,Tata Power
10-09-2017,82,84.85,82,84.23,1758936,Tata Power
11-09-2017,84.03,86.37,83.81,86.01,1041754,Tata Power
12-09-2017,85.96,86.52,84.58,84.99,1009095,Tata Power
15-09-2017,84.89,85.2,82.99,83.27,1004508,Tata Power
16-09-2017,83.69,83.97,82.8,83.47,720232,Tata Power
17-09-2017,83.25,83.25,82.05,82.82,762824,Tata Power
18-09-2017,82.8,82.86,81.805,81.92,651876,Tata Power
19-09-2017,82.14,83.69,80.98,82.93,1044806,Tata Power
22-09-2017,82.85,82.9699,81.75,82.07,564065,Tata Power
23-09-2017,82.55,84.23,82.53,83.55,653799,Tata Power
24-09-2017,83.47,84.43,83.47,84.18,663756,Tata Power
25-09-2017,85.6,87.01,85.05,86,1280263,Tata Power
26-09-2017,86.04,86.26,85.47,85.94,710356,Tata Power
29-09-2017,86,86.58,85.76,86.02,764837,Tata Power
30-09-2017,86,86.93,85.33,86.88,792378,Tata Power
01-10-2017,86.85,87.97,86.44,87.34,688094,Tata Power
02-10-2017,87.44,87.98,86.93,87.59,674672,Tata Power
03-10-2017,88.02,88.74,87.14,87.56,694600,Tata Power
06-10-2017,87.71,88.05,87.03,87.91,394046,Tata Power
07-10-2017,88.31,88.7,87.61,88.58,429241,Tata Power
08-10-2017,88.5,88.87,87.61,88.12,502844,Tata Power
09-10-2017,87.92,88.7,87.59,87.72,428069,Tata Power
10-10-2017,87.8,88.97,87.52,88.43,537378,Tata Power
13-10-2017,88.25,88.38,86.66,88,727912,Tata Power
14-10-2017,88.18,89.23,87.96,89.12,387673,Tata Power
15-10-2017,88.96,89.54,88.42,89.4,348669,Tata Power
16-10-2017,89.32,89.92,88.04,88.42,610597,Tata Power
17-10-2017,88.57,89.46,88.51,89.16,573060,Tata Power
20-10-2017,88.79,89.98,88.37,89.52,630347,Tata Power
21-10-2017,90.17,91.74,90.05,90.18,748463,Tata Power
22-10-2017,90.25,90.33,88.55,88.8,514464,Tata Power
23-10-2017,87.57,88.42,86.22,87.08,1444659,Tata Power
24-10-2017,86.75,87.0199,86.12,86.39,589932,Tata Power
28-10-2017,87,87.53,85.87,86.63,543936,Tata Power
29-10-2017,86.14,86.48,84.81,85.16,770180,Tata Power
30-10-2017,85.34,85.89,84.58,85.07,525034,Tata Power
31-10-2017,84.78,86.124,84.51,84.52,493293,Tata Power
03-11-2017,84.54,85.57,83.3,85.55,917986,Tata Power
04-11-2017,85.39,86.39,84.88,84.99,549007,Tata Power
05-11-2017,84.96,85.94,84.53,84.55,472376,Tata Power
06-11-2017,84.77,86.24,84.635,86.23,343359,Tata Power
07-11-2017,86.49,87.53,86.18,87.32,541572,Tata Power
10-11-2017,87.32,87.96,86.39,86.62,369822,Tata Power
