date,open,high,low,close,volume,Name
08-02-2013,78.34,79.72,78.01,78.9,1298137,Tether
11-02-2013,78.65,78.91,77.23,78.39,758016,Tether
12-02-2013,78.39,78.63,77.5132,78.6,876859,Tether
13-02-2013,78.9,79.13,77.85,78.97,1038574,Tether
14-02-2013,78.66,79.72,78.585,78.84,1005376,Tether
15-02-2013,78.83,79.18,77.93,79,1247063,Tether
19-02-2013,79.12,81.44,78.57,80.72,1730690,Tether
20-02-2013,80.42,80.94,79.39,79.5,648693,Tether
21-02-2013,79.26,80.05,78.56,79.06,915160,Tether
22-02-2013,79.2,79.46,78.63,79.21,538188,Tether
25-02-2013,79.46,79.74,78.36,78.36,579811,Tether
26-02-2013,78.42,78.925,76.42,77.15,990145,Tether
27-02-2013,77.29,77.58,76.22,77.3,720813,Tether
28-02-2013,77.35,77.59,76.34,76.34,1180713,Tether
01-03-2013,76.37,76.66,75.623,76.37,1272624,Tether
04-03-2013,76.24,77.25,76.1,77.02,1098428,Tether
05-03-2013,77.07,77.49,76.72,76.95,1288012,Tether
06-03-2013,77.1,77.24,75.97,76.18,1255676,Tether
07-03-2013,76.04,76.75,75.7,76.22,965808,Tether
08-03-2013,76.44,77.16,75.6302,76.84,736386,Tether
11-03-2013,76.88,78.06,76.84,77.53,689362,Tether
12-03-2013,77.26,77.66,76.89,77.36,660535,Tether
13-03-2013,77.54,78.85,77.32,78.77,644976,Tether
14-03-2013,78.9,79.12,77.36,77.67,763234,Tether
15-03-2013,77.9,79.59,77.41,79.57,1237958,Tether
18-03-2013,79.09,80.76,79.0101,80.7,1219201,Tether
19-03-2013,80.64,80.9399,79.77,80.07,1370222,Tether
20-03-2013,80.07,80.704,79.8005,80.22,728484,Tether
21-03-2013,79.91,80.72,79.85,80.03,616238,Tether
22-03-2013,80.12,80.44,78.972,79.81,586660,Tether
25-03-2013,79.83,80.94,79.33,80.53,1150900,Tether
26-03-2013,80.86,81.61,80.56,81.6,969581,Tether
27-03-2013,81.02,81.7,80.9601,81.64,551193,Tether
28-03-2013,81.34,83.07,81.29,82.65,1287266,Tether
01-04-2013,82.54,83.03,81.66,82.34,749343,Tether
02-04-2013,82.49,82.9099,81.33,82.83,956279,Tether
03-04-2013,82.8,82.95,81.5,82.12,846044,Tether
04-04-2013,82.2,82.97,81.93,82.2,819476,Tether
05-04-2013,81.62,81.62,80.75,80.95,913888,Tether
08-04-2013,81,81.15,80.35,80.63,837488,Tether
09-04-2013,79.97,79.97,78.5,78.71,1462823,Tether
10-04-2013,79,81.85,79,81.23,1758927,Tether
11-04-2013,81.03,83.37,80.81,83.01,1041745,Tether
12-04-2013,82.96,83.52,81.58,81.99,1009086,Tether
15-04-2013,81.89,82.2,79.99,80.27,1004499,Tether
16-04-2013,80.69,80.97,79.8,80.47,720223,Tether
17-04-2013,80.25,80.25,79.05,79.82,762815,Tether
18-04-2013,79.8,79.86,78.805,78.92,651867,Tether
19-04-2013,79.14,80.69,77.98,79.93,1044797,Tether
22-04-2013,79.85,79.9699,78.75,79.07,564056,Tether
23-04-2013,79.55,81.23,79.53,80.55,653790,Tether
24-04-2013,80.47,81.43,80.47,81.18,663747,Tether
25-04-2013,82.6,84.01,82.05,83,1280254,Tether
26-04-2013,83.04,83.26,82.47,82.94,710347,Tether
29-04-2013,83,83.58,82.76,83.02,764828,Tether
30-04-2013,83,83.93,82.33,83.88,792369,Tether
01-05-2013,83.85,84.97,83.44,84.34,688085,Tether
02-05-2013,84.44,84.98,83.93,84.59,674663,Tether
03-05-2013,85.02,85.74,84.14,84.56,694591,Tether
06-05-2013,84.71,85.05,84.03,84.91,394037,Tether
07-05-2013,85.31,85.7,84.61,85.58,429232,Tether
08-05-2013,85.5,85.87,84.61,85.12,502835,Tether
09-05-2013,84.92,85.7,84.59,84.72,428060,Tether
10-05-2013,84.8,85.97,84.52,85.43,537369,Tether
13-05-2013,85.25,85.38,83.66,85,727903,Tether
14-05-2013,85.18,86.23,84.96,86.12,387664,Tether
15-05-2013,85.96,86.54,85.42,86.4,348660,Tether
16-05-2013,86.32,86.92,85.04,85.42,610588,Tether
17-05-2013,85.57,86.46,85.51,86.16,573051,Tether
20-05-2013,85.79,86.98,85.37,86.52,630338,Tether
21-05-2013,87.17,88.74,87.05,87.18,748454,Tether
22-05-2013,87.25,87.33,85.55,85.8,514455,Tether
23-05-2013,84.57,85.42,83.22,84.08,1444650,Tether
24-05-2013,83.75,84.0199,83.12,83.39,589923,Tether
28-05-2013,84,84.53,82.87,83.63,543927,Tether
29-05-2013,83.14,83.48,81.81,82.16,770171,Tether
30-05-2013,82.34,82.89,81.58,82.07,525025,Tether
31-05-2013,81.78,83.124,81.51,81.52,493284,Tether
03-06-2013,81.54,82.57,80.3,82.55,917977,Tether
04-06-2013,82.39,83.39,81.88,81.99,548998,Tether
05-06-2013,81.96,82.94,81.53,81.55,472367,Tether
06-06-2013,81.77,83.24,81.635,83.23,343350,Tether
07-06-2013,83.49,84.53,83.18,84.32,541563,Tether
10-06-2013,84.32,84.96,83.39,83.62,369813,Tether
11-06-2013,82.89,83.41,82.6,82.69,486934,Tether
12-06-2013,83.09,83.41,82.04,82.35,461216,Tether
13-06-2013,82.44,83.31,82.2,82.75,467126,Tether
14-06-2013,82.61,83.64,81.64,82.48,521876,Tether
17-06-2013,82.58,83.45,82.11,82.48,521596,Tether
18-06-2013,82.5,83.71,82.14,83.69,345318,Tether
19-06-2013,83.3,84.48,82.44,84.07,1079373,Tether
20-06-2013,83.69,83.8,82.73,82.88,704461,Tether
21-06-2013,83.02,83.08,80.57,80.74,967901,Tether
24-06-2013,79.85,80.87,79.49,80.22,705907,Tether
25-06-2013,80.71,81.57,80.71,81.39,502751,Tether
26-06-2013,80.78,81.05,79.47,79.75,1178594,Tether
27-06-2013,80.22,80.75,79.86,80.02,673139,Tether
28-06-2013,80.01,81.75,79.701,81.17,831563,Tether
01-07-2013,81.72,82.7,81.46,81.89,721391,Tether
02-07-2013,82,82.66,81.04,81.47,456597,Tether
03-07-2013,81.22,82.2,81.03,81.99,263283,Tether
05-07-2013,82.62,82.9,81.445,82.58,273918,Tether
08-07-2013,83.1,84.01,82.94,83.72,616938,Tether
09-07-2013,84.02,84.16,83.14,83.2,376874,Tether
10-07-2013,83.25,83.31,82.6,82.75,829283,Tether
11-07-2013,83.5,83.72,82.71,82.76,788696,Tether
12-07-2013,82.93,83.325,82.33,82.67,505599,Tether
15-07-2013,82.9,83.48,82.13,83.38,461123,Tether
16-07-2013,83.29,83.65,81.85,82.38,450224,Tether
17-07-2013,82.55,82.8899,81.44,81.49,460785,Tether
18-07-2013,81.5,82.658,81.4,82.5,1015370,Tether
19-07-2013,82.15,82.74,82.01,82.21,355861,Tether
22-07-2013,82.05,82.99,81.58,82.75,548236,Tether
23-07-2013,82.99,83.59,82.46,82.7,584942,Tether
24-07-2013,82.82,82.95,81.27,81.53,517905,Tether
25-07-2013,81.9,82.46,81.05,82.22,925230,Tether
26-07-2013,82.93,83.43,82.38,82.64,620011,Tether
29-07-2013,82.61,82.88,81.93,82.33,332070,Tether
30-07-2013,82.53,82.8,82.15,82.19,482674,Tether
31-07-2013,82.25,83.07,82.01,82.49,521429,Tether
01-08-2013,83.17,83.72,82.47,83.43,912861,Tether
02-08-2013,83.29,83.52,82.83,83.47,412701,Tether
05-08-2013,83.19,83.8,82.9,83.41,445654,Tether
06-08-2013,83.42,83.42,82.5,83.18,637594,Tether
07-08-2013,82.82,82.93,81.82,82.29,996410,Tether
08-08-2013,83,83.14,79.33,81.65,2492117,Tether
09-08-2013,81.34,83.24,81.06,83.17,1403632,Tether
12-08-2013,83.14,83.5,82.41,82.45,687053,Tether
13-08-2013,82.73,84.93,82.41,84.49,1200805,Tether
14-08-2013,84.28,84.67,83.51,83.55,405505,Tether
15-08-2013,82.94,83.27,81.87,81.88,717733,Tether
16-08-2013,81.66,81.86,80.72,80.8,640919,Tether
19-08-2013,80.75,81.43,80.266,80.35,680869,Tether
20-08-2013,80.53,82.09,80.32,81.66,604143,Tether
21-08-2013,81.58,82.22,81.199,81.73,685648,Tether
22-08-2013,81.67,82.25,81.53,81.8,382159,Tether
23-08-2013,82.04,83.17,81.77,83.01,481862,Tether
26-08-2013,83.14,83.9,83.02,83.1,267629,Tether
27-08-2013,82.32,82.61,81.53,81.53,583289,Tether
28-08-2013,81.4,81.74,80.95,81.07,311107,Tether
29-08-2013,81,81.59,80.68,81.26,403056,Tether
30-08-2013,80.76,81.13,79.73,80.07,658388,Tether
03-09-2013,81.3499,81.3499,79.41,79.78,904206,Tether
04-09-2013,79.85,80.04,79.35,79.78,854647,Tether
05-09-2013,79.71,80.49,79.71,80.04,296291,Tether
06-09-2013,80.04,80.388,78.91,79.12,546804,Tether
09-09-2013,79.31,79.96,79.31,79.64,406973,Tether
10-09-2013,79.99,81.26,79.925,81.08,727636,Tether
11-09-2013,81.05,81.5495,80.762,81.44,285352,Tether
12-09-2013,81.33,81.5,80.04,80.37,380111,Tether
13-09-2013,80.58,80.58,79.26,79.38,414341,Tether
16-09-2013,80.02,80.21,79.67,79.72,573477,Tether
17-09-2013,79.67,80.15,79.47,79.93,337160,Tether
18-09-2013,80.05,80.42,79.09,80.36,504950,Tether
19-09-2013,80.41,81.07,80.3959,80.71,733293,Tether
20-09-2013,81.17,81.31,80.6,80.65,775517,Tether
23-09-2013,80.57,80.7,79.47,79.79,696196,Tether
24-09-2013,79.6,80.59,79.24,80.1,666192,Tether
25-09-2013,80.13,81.57,79.97,81.46,768894,Tether
26-09-2013,81.6,82.09,81.41,81.68,541448,Tether
27-09-2013,81.2,82.31,81.2,82.06,639580,Tether
30-09-2013,81.34,82.82,81.14,82.68,722681,Tether
01-10-2013,82.7,83.94,82.6,83.48,1005074,Tether
02-10-2013,82.9,83.05,82,82.62,437446,Tether
03-10-2013,82.36,82.81,81.28,81.9,423074,Tether
04-10-2013,81.87,83.17,81.86,83.16,281465,Tether
07-10-2013,82.76,82.76,81.65,81.98,455580,Tether
08-10-2013,81.84,82.5,81.04,81.25,494585,Tether
09-10-2013,81.22,81.409,80.28,80.48,530059,Tether
10-10-2013,81.25,81.8,80.57,81.76,483702,Tether
11-10-2013,81.82,82.35,80.88,82.33,504039,Tether
14-10-2013,82.16,83.62,82,83.61,405131,Tether
15-10-2013,83.3,83.3,82.25,82.5,585154,Tether
16-10-2013,97.26,99.3,95.15,96.16,7301816,Tether
17-10-2013,96.65,97.97,95.82,97.22,3577604,Tether
18-10-2013,97.35,98.91,97.35,98.7,1300529,Tether
21-10-2013,99.11,99.4,97.77,98.45,615833,Tether
22-10-2013,99,99.6,98.04,98.72,779284,Tether
23-10-2013,98.73,99.84,98.3,99.77,498792,Tether
24-10-2013,99.44,99.51,98.501,99.42,767363,Tether
25-10-2013,101.32,102.74,101.02,102.67,826661,Tether
28-10-2013,102.67,102.82,100.85,101,617856,Tether
29-10-2013,100.95,101.51,99.97,100.3,952107,Tether
30-10-2013,100.27,100.86,99.03,100,729413,Tether
31-10-2013,100,101,99.18,99.18,981461,Tether
01-11-2013,98.26,100.14,97.27,99.91,977296,Tether
04-11-2013,99.86,100.27,99.32,99.38,675948,Tether
05-11-2013,99.27,100.28,98.52,99.26,618547,Tether
06-11-2013,100,100.02,98.14,98.51,687004,Tether
07-11-2013,98.51,99.25,96.58,96.67,651121,Tether
08-11-2013,96.92,97.96,96.65,96.96,426137,Tether
11-11-2013,96.76,99.53,96.76,99.44,728285,Tether
12-11-2013,98.98,99.31,98.5,99.24,419034,Tether
13-11-2013,99.07,100.186,98.905,99.68,367296,Tether
14-11-2013,99.58,99.95,98.14,98.88,288970,Tether
15-11-2013,99.25,99.54,98.69,99.34,402598,Tether
18-11-2013,99.68,99.99,97.9,98.31,407263,Tether
19-11-2013,98.33,98.33,96.99,97.06,476397,Tether
20-11-2013,97.81,98.38,96.758,97.67,308792,Tether
21-11-2013,100,100.88,99.16,100.04,949898,Tether
22-11-2013,100,100.22,99.205,100.1,915515,Tether
25-11-2013,100.05,100.42,99.15,100.12,750059,Tether
26-11-2013,100,102.84,99.95,101.51,2340800,Tether
27-11-2013,102.26,102.67,101.41,102.03,400580,Tether
29-11-2013,101.88,102.11,101.01,101.01,247637,Tether
02-12-2013,101.35,103.4,100.94,103.05,650385,Tether
03-12-2013,102.27,107.24,102.27,107.12,1766605,Tether
04-12-2013,106.25,107.719,104.2525,105.71,1425387,Tether
05-12-2013,104.65,105.62,104,104.95,852839,Tether
06-12-2013,106.65,106.9,103.75,104.55,1178242,Tether
09-12-2013,104.75,105.6,103.94,104.33,760599,Tether
10-12-2013,105.47,111.53,105.23,109.45,1707505,Tether
11-12-2013,109.55,109.95,106.89,107.05,1046772,Tether
12-12-2013,106.78,108.08,106.56,107.93,941828,Tether
13-12-2013,110.55,110.55,108.19,109.85,1433137,Tether
16-12-2013,110.01,110.4,108.88,109.27,774387,Tether
