date,open,high,low,close,volume,Name
08-02-2013,96.1,97.5,96.1,96.85,3934113,USD Coin
11-02-2013,96.96,96.99,96.3,96.6,2739107,USD Coin
12-02-2013,96.67,97.41,96.67,97.22,4148908,USD Coin
13-02-2013,97.09,97.5,96.02,96.38,3718446,USD Coin
14-02-2013,96.06,96.68,95.68,96.07,3586223,USD Coin
15-02-2013,96.26,96.42,95.285,95.61,4377039,USD Coin
19-02-2013,95.74,96.37,95.13,95.6,4368744,USD Coin
20-02-2013,95,95.1,93.05,93.22,8571002,USD Coin
21-02-2013,92.76,92.79,90.57,91.53,7194805,USD Coin
22-02-2013,91.99,92.49,91.05,91.54,5851773,USD Coin
25-02-2013,91.81,92.22,89.08,89.16,7540211,USD Coin
26-02-2013,89.59,90.2,88.5,89.95,7114351,USD Coin
27-02-2013,90.06,92.36,90.06,92.25,6147936,USD Coin
28-02-2013,92.49,93.16,92.23,92.37,5447668,USD Coin
01-03-2013,91.54,91.96,90.13,91.36,4924799,USD Coin
04-03-2013,90.61,90.75,89.19,89.75,6350663,USD Coin
05-03-2013,90.49,91.2762,89.99,90.21,5328398,USD Coin
06-03-2013,90.97,91.05,89.41,89.64,7134853,USD Coin
07-03-2013,89.9,90.4,89.27,89.65,4737340,USD Coin
08-03-2013,90.43,90.72,90.01,90.51,5084843,USD Coin
11-03-2013,90.49,91.52,90.1,91.18,4846141,USD Coin
12-03-2013,91.16,91.16,89.4,89.74,6593128,USD Coin
13-03-2013,89.8,89.9099,89.13,89.28,5836031,USD Coin
14-03-2013,89.47,89.55,88.17,88.7,7327796,USD Coin
15-03-2013,88.61,89.25,88.11,88.83,7385212,USD Coin
18-03-2013,87.89,90.02,87.67,89.36,7159784,USD Coin
19-03-2013,89.4,89.4,87.44,88.27,7488353,USD Coin
20-03-2013,87.61,87.88,86.42,86.94,9378579,USD Coin
21-03-2013,86.43,87.32,86.43,86.83,5447976,USD Coin
22-03-2013,87.01,87.63,86.97,87.48,5109453,USD Coin
25-03-2013,87.93,87.96,86.05,86.64,6685177,USD Coin
26-03-2013,87.06,87.39,86.66,87,4172989,USD Coin
27-03-2013,86.43,87.16,85.8,86.9,4839011,USD Coin
28-03-2013,87.05,87.98,86.65,86.97,6207620,USD Coin
01-04-2013,86.86,86.94,85.41,85.64,5669342,USD Coin
02-04-2013,86.0199,86.02,84.47,84.88,6514236,USD Coin
03-04-2013,83.91,84.62,83.6,84.12,9221157,USD Coin
04-04-2013,84.17,84.73,83.84,84.63,7645981,USD Coin
05-04-2013,83.41,85.36,83.05,84.6,8987802,USD Coin
08-04-2013,84.69,85.35,83.71,84.19,6722921,USD Coin
09-04-2013,84.38,86.646,84.05,85.9,10514160,USD Coin
10-04-2013,86.38,86.8801,85.9,86.57,6258603,USD Coin
11-04-2013,86.89,87,85.3,85.7,6919991,USD Coin
12-04-2013,84.99,85.33,84.3,85.05,4935134,USD Coin
15-04-2013,84.24,84.33,81.9119,82.27,10332326,USD Coin
16-04-2013,83.63,83.73,82.12,82.61,6566961,USD Coin
17-04-2013,81.54,81.62,80.62,81.47,9404876,USD Coin
18-04-2013,81.34,81.34,80.05,80.46,6875239,USD Coin
19-04-2013,80.95,81.16,80.01,80.43,6999934,USD Coin
22-04-2013,81.24,83.13,79.49,82.71,18400655,USD Coin
23-04-2013,83.91,84.72,82.74,84.1,12895631,USD Coin
24-04-2013,84.28,84.65,83.29,83.78,7021914,USD Coin
25-04-2013,84.7,85.02,84.0238,84.51,6552773,USD Coin
26-04-2013,84.35,85.08,84.25,84.68,5837246,USD Coin
29-04-2013,85.11,85.5,84.07,84.8,6066783,USD Coin
30-04-2013,84.81,85.38,83.365,84.67,6954737,USD Coin
01-05-2013,84.07,84.35,82.66,83.08,11607025,USD Coin
02-05-2013,83.34,84.56,83.1,84.26,5799398,USD Coin
03-05-2013,85.59,87.48,85.48,86.98,11884751,USD Coin
06-05-2013,87.13,87.95,86.88,87.59,6380833,USD Coin
07-05-2013,88.11,89.81,87.91,89.79,10404955,USD Coin
08-05-2013,89.76,90.4,89.1801,90.31,7428022,USD Coin
09-05-2013,89.98,90.69,89.55,89.95,5165618,USD Coin
10-05-2013,89.96,90.2499,87.9,88.62,6967800,USD Coin
13-05-2013,88.19,88.49,87.75,88.07,5483818,USD Coin
14-05-2013,87.82,88,86.86,87.55,6858676,USD Coin
15-05-2013,86.97,87.18,86.44,87,6924156,USD Coin
16-05-2013,86.55,87.65,86.1,86.78,8192260,USD Coin
17-05-2013,87.39,87.8595,87.1,87.67,6692372,USD Coin
20-05-2013,87.57,88.75,87.27,88.33,5542184,USD Coin
21-05-2013,88.65,88.98,87.73,88.1,4732467,USD Coin
22-05-2013,88.09,89.09,87.15,87.7,6472099,USD Coin
23-05-2013,86.03,87.38,85.78,86.95,6025630,USD Coin
24-05-2013,86.26,86.72,85.77,86.21,4637351,USD Coin
28-05-2013,87.04,87.39,85.9,86.19,5800396,USD Coin
29-05-2013,85.73,86.66,85.33,86.49,4724389,USD Coin
30-05-2013,86.47,87,85.99,86.41,3509059,USD Coin
31-05-2013,86.23,86.95,85.8,85.8,5273688,USD Coin
03-06-2013,85.91,86.3,85.74,86.13,6092678,USD Coin
04-06-2013,85.95,86.4699,85.44,85.92,5105609,USD Coin
05-06-2013,85.47,85.73,84.23,84.42,7354515,USD Coin
06-06-2013,84.3,84.31,83.3,84,7008449,USD Coin
07-06-2013,84.65,85.37,83.635,84.65,5474875,USD Coin
10-06-2013,84.71,84.77,83.63,83.8,4965103,USD Coin
11-06-2013,83.03,83.97,82.63,83.52,5277167,USD Coin
12-06-2013,84.17,84.3782,83.01,83.21,4746785,USD Coin
13-06-2013,83.32,85.28,83.19,85.14,6333612,USD Coin
14-06-2013,85.01,85.14,83.4,83.87,5147348,USD Coin
17-06-2013,83.55,84.43,83.42,83.92,4388447,USD Coin
18-06-2013,84.09,84.87,83.96,84.55,3723840,USD Coin
19-06-2013,84.5,85.29,84.25,84.25,4710491,USD Coin
20-06-2013,83.19,83.68,82.35,83.2,7628785,USD Coin
21-06-2013,84.02,84.02,81.93,83.12,9736764,USD Coin
24-06-2013,82.06,82.25,80.855,81.52,7525516,USD Coin
25-06-2013,82.34,82.68,81.97,82.33,6250146,USD Coin
26-06-2013,82.92,83.43,81.7,82.1,6952383,USD Coin
27-06-2013,82.55,83.17,82.55,82.96,4658672,USD Coin
28-06-2013,82.76,83.19,82.31,82.49,8450331,USD Coin
01-07-2013,83.04,83.25,82.2723,82.72,4676582,USD Coin
02-07-2013,82.77,83.59,82.04,82.48,3660214,USD Coin
03-07-2013,82.15,82.5,81.56,81.85,2928807,USD Coin
05-07-2013,82.53,82.63,81.4,82.14,4824407,USD Coin
08-07-2013,82.4,83.2,82.25,83.2,4880140,USD Coin
09-07-2013,84.07,86.25,83.72,85.33,7883877,USD Coin
10-07-2013,85.42,85.77,84.79,84.96,4248398,USD Coin
11-07-2013,86.46,86.89,86.1,86.7,5434186,USD Coin
12-07-2013,86.63,87.27,86.54,87.17,4875862,USD Coin
15-07-2013,87.24,88.03,87.19,87.4,4162650,USD Coin
16-07-2013,87.72,88.53,87.42,88.17,5432484,USD Coin
17-07-2013,88.45,89,85.88,86.67,15076162,USD Coin
18-07-2013,85.88,86.6,85.42,85.72,7046291,USD Coin
19-07-2013,85.45,85.885,85.15,85.65,5086165,USD Coin
22-07-2013,85.38,86.55,85.38,86,4836734,USD Coin
23-07-2013,85.49,86.38,85.12,85.52,6890936,USD Coin
24-07-2013,84.58,85.28,82.635,83.44,16600606,USD Coin
25-07-2013,82.05,82.58,81.35,82.14,9936238,USD Coin
26-07-2013,81.88,82.08,81.435,82.06,5728374,USD Coin
29-07-2013,82.42,83.3499,82,83.02,9068770,USD Coin
30-07-2013,83.47,83.75,82.662,83.19,5265987,USD Coin
31-07-2013,83.58,83.9,82.84,82.91,7012868,USD Coin
01-08-2013,83.62,84.81,83.115,84.44,6573029,USD Coin
02-08-2013,84.29,84.68,83.5,84.3,4853599,USD Coin
05-08-2013,84.11,84.29,83.5,83.56,3758426,USD Coin
06-08-2013,83.31,83.32,82.1522,82.53,7223850,USD Coin
07-08-2013,82.38,82.77,81.8,82.43,4292401,USD Coin
08-08-2013,82.95,84.59,82.92,83.96,6400595,USD Coin
09-08-2013,83.8,84.79,83.5,84.51,5478617,USD Coin
12-08-2013,84.19,86.45,84.06,86.32,8608268,USD Coin
13-08-2013,86.62,87.43,86.4501,86.57,6710299,USD Coin
14-08-2013,86.86,87,85.71,85.82,4462937,USD Coin
15-08-2013,84.96,86.53,84.88,85.86,5139275,USD Coin
16-08-2013,85.85,86.4,85.14,85.16,4706496,USD Coin
19-08-2013,85.15,85.497,83.95,84.2,3766035,USD Coin
20-08-2013,83.8,84.46,83.27,83.86,4689843,USD Coin
21-08-2013,83.52,83.85,82.83,82.94,5562553,USD Coin
22-08-2013,83.31,84.49,83.06,84.17,4740045,USD Coin
23-08-2013,84.38,84.4,83.4,83.89,4487260,USD Coin
26-08-2013,83.98,84.78,83.52,83.56,4122903,USD Coin
27-08-2013,82.88,83.54,82.48,82.7,5570637,USD Coin
28-08-2013,81.81,82.66,81.46,82.45,6763608,USD Coin
29-08-2013,82.5,83.06,82.02,82.53,3706364,USD Coin
30-08-2013,82.59,82.76,82.21,82.54,4425663,USD Coin
03-09-2013,83.15,83.54,81.72,82.51,7544170,USD Coin
04-09-2013,82.75,83.7442,82.3,83.54,4482128,USD Coin
05-09-2013,83.37,83.52,82.706,82.95,3728404,USD Coin
06-09-2013,83.22,84.22,82.4,83.39,5566486,USD Coin
09-09-2013,84.04,86.03,84.02,85.59,6708680,USD Coin
10-09-2013,86.81,86.89,86.18,86.61,6298564,USD Coin
11-09-2013,86.5,87.13,86.26,87.13,4382942,USD Coin
12-09-2013,86.94,87.22,86.62,86.84,3980570,USD Coin
13-09-2013,87.1,87.2,86.381,87.01,3275980,USD Coin
16-09-2013,87.96,88.22,87.03,87.18,4877174,USD Coin
17-09-2013,87.36,87.45,86.67,87.07,3416355,USD Coin
18-09-2013,86.31,88.01,86.2,87.84,5564919,USD Coin
19-09-2013,88.04,88.25,87.31,87.75,4765207,USD Coin
20-09-2013,87.61,87.65,84.75,84.75,13442094,USD Coin
23-09-2013,85,85.39,84.38,85.03,6048380,USD Coin
24-09-2013,85.13,85.4428,84.53,85.11,3671100,USD Coin
25-09-2013,85.14,85.55,84.43,84.5,3828841,USD Coin
26-09-2013,84.59,84.85,83.9,84.2,3475354,USD Coin
27-09-2013,83.62,83.92,83.38,83.8,3017659,USD Coin
30-09-2013,82.95,83.831,82.83,83.4,5401480,USD Coin
01-10-2013,83.56,84.3,83.08,83.76,3866077,USD Coin
02-10-2013,83.52,84.2499,83.33,84.07,3324869,USD Coin
03-10-2013,83.89,84.27,83.42,83.97,4223482,USD Coin
04-10-2013,83.97,84.35,83.54,84.2,3211996,USD Coin
07-10-2013,83.46,84.16,83.3,83.53,3368425,USD Coin
08-10-2013,83.54,83.89,82.63,82.85,5681245,USD Coin
09-10-2013,83.05,83.89,82.45,83.52,4577510,USD Coin
10-10-2013,84.44,84.95,84.07,84.73,4315728,USD Coin
11-10-2013,84.64,85.85,84.35,85.61,4110281,USD Coin
14-10-2013,85.06,86.42,84.86,86.24,4689649,USD Coin
15-10-2013,86.24,86.75,85.69,85.75,4896480,USD Coin
16-10-2013,86.06,86.49,85.6,86.27,3549471,USD Coin
17-10-2013,85.33,85.99,84.95,85.85,3850888,USD Coin
18-10-2013,86.31,87.755,86.27,87.34,6724045,USD Coin
21-10-2013,87.72,87.8,87.19,87.7,3884013,USD Coin
